epoch,train_loss,valid_loss,accuracy_thresh,multi_label_precision,multi_label_recall,fbeta,time
0,1.512311,#na#,00:09
epoch,train_loss,valid_loss,accuracy_thresh,multi_label_precision,multi_label_recall,fbeta,time
0,0.006597,0.006646,0.998650,0.479928,0.073745,0.134357,04:53
1,0.004632,0.004695,0.998811,0.757073,0.191193,0.320443,04:48
2,0.003757,0.004017,0.998916,0.832949,0.260678,0.415916,04:50
3,0.003204,0.003872,0.998948,0.836396,0.276339,0.443771,04:51
epoch,train_loss,valid_loss,accuracy_thresh,multi_label_precision,multi_label_recall,fbeta,time
0,0.003382,#na#,00:06
epoch,train_loss,valid_loss,accuracy_thresh,multi_label_precision,multi_label_recall,fbeta,time
0,0.002976,0.003898,0.998941,0.821238,0.278344,0.444571,06:45
1,0.002714,0.003750,0.998975,0.833484,0.303997,0.476341,06:37
2,0.002709,0.003608,0.999004,0.829651,0.340701,0.505831,06:40
3,0.002529,0.003578,0.999011,0.831461,0.345113,0.510570,06:41
epoch,train_loss,valid_loss,accuracy_thresh,multi_label_precision,multi_label_recall,fbeta,time
0,0.002116,#na#,00:05
epoch,train_loss,valid_loss,accuracy_thresh,multi_label_precision,multi_label_recall,fbeta,time
0,0.002233,0.003725,0.998988,0.807662,0.336303,0.496916,08:36
1,0.002143,0.003625,0.999006,0.806643,0.358777,0.516580,08:26
2,0.002211,0.003499,0.999043,0.810633,0.395994,0.549655,08:29
3,0.001994,0.003468,0.999059,0.813071,0.400395,0.558071,08:30
epoch,train_loss,valid_loss,accuracy_thresh,multi_label_precision,multi_label_recall,fbeta,time
0,0.001471,#na#,00:04
epoch,train_loss,valid_loss,accuracy_thresh,multi_label_precision,multi_label_recall,fbeta,time
0,0.001506,0.003724,0.999024,0.802060,0.387174,0.538191,09:08
1,0.001576,0.003688,0.999031,0.788839,0.414345,0.551401,08:57
2,0.001741,0.003539,0.999065,0.790597,0.454824,0.582390,09:01
3,0.001548,0.003504,0.999076,0.797901,0.456889,0.587842,09:02
epoch,train_loss,valid_loss,accuracy_thresh,multi_label_precision,multi_label_recall,fbeta,time
0,0.001131,#na#,00:04
epoch,train_loss,valid_loss,accuracy_thresh,multi_label_precision,multi_label_recall,fbeta,time
0,0.000970,0.003799,0.999046,0.776963,0.447776,0.574283,09:08
